column,value,count,rate
hotel,City Hotel,53428,0.6113323264222619
hotel,Resort Hotel,33968,0.3886676735777381
arrival_date_month,August,11257,0.1288045219460845
arrival_date_month,July,10057,0.11507391642638107
arrival_date_month,May,8355,0.09559934093093506
arrival_date_month,April,7908,0.09048469037484554
arrival_date_month,June,7765,0.08884845988374754
arrival_date_month,March,7513,0.08596503272460983
arrival_date_month,October,6934,0.07934001556135292
arrival_date_month,September,6690,0.07654812577234656
arrival_date_month,February,6098,0.0697743603826262
arrival_date_month,December,5131,0.058709780767998536
meal,BB,67978,0.7778159183486658
meal,SC,9481,0.10848322577692343
meal,HB,9085,0.1039521259554213
meal,Undefined,492,0.005629548263078402
meal,FB,360,0.0041191816559110256
country,PRT,27453,0.314121927777015
country,GBR,10433,0.1193761728225548
country,FRA,8837,0.10111446748134927
country,ESP,7252,0.08297862602407433
country,DEU,5387,0.06163897661220193
country,ITA,3066,0.03508169710284224
country,IRL,3016,0.03450958853952126
country,BEL,2081,0.023811158405419013
country,BRA,1995,0.022827131676506934
country,NLD,1911,0.021865989290127695
market_segment,Online TA,51618,0.5906219964300425
market_segment,Offline TA/TO,13889,0.15892031671930065
market_segment,Direct,11804,0.13506338962881598
market_segment,Groups,4942,0.05654721039864525
market_segment,Corporate,4212,0.048194425374159
market_segment,Complementary,702,0.0080324042290265
market_segment,Aviation,227,0.00259737287747723
market_segment,Undefined,2,2.288434253283903e-05
distribution_channel,TA/TO,69141,0.7911231635315117
distribution_channel,Direct,12988,0.14861092040825666
distribution_channel,Corporate,5081,0.05813767220467756
distribution_channel,GDS,181,0.002071032999221932
distribution_channel,Undefined,5,5.721085633209758e-05
reserved_room_type,A,56552,0.6470776694585565
reserved_room_type,D,17398,0.19907089569316674
reserved_room_type,E,6049,0.06921369399057165
reserved_room_type,F,2823,0.032301249485102296
reserved_room_type,G,2052,0.023479335438692846
reserved_room_type,B,999,0.011430729095153096
reserved_room_type,C,915,0.010469586708773857
reserved_room_type,H,596,0.006819534074786031
reserved_room_type,L,6,6.86530275985171e-05
reserved_room_type,P,6,6.86530275985171e-05
assigned_room_type,A,46313,0.5299212778616871
assigned_room_type,D,22432,0.2566707858483226
assigned_room_type,E,7195,0.08232642226188841
assigned_room_type,F,3627,0.04150075518330358
assigned_room_type,G,2498,0.028582543823515952
assigned_room_type,C,2165,0.024772300791798253
assigned_room_type,B,1820,0.02082475170488352
assigned_room_type,H,706,0.008078172914092178
assigned_room_type,I,357,0.004084855142111767
assigned_room_type,K,276,0.0031580392695317863
deposit_type,No Deposit,86251,0.9868987138999497
deposit_type,Non Refund,1038,0.011876973774543458
deposit_type,Refundable,107,0.0012243123255068881
customer_type,Transient,71986,0.8236761407844753
customer_type,Transient-Party,11727,0.13418234244130167
customer_type,Contract,3139,0.03591697560529086
customer_type,Group,544,0.006224541168932216
reservation_status,Check-Out,63371,0.7251018353242711
reservation_status,Canceled,23011,0.26329580301157945
reservation_status,No-Show,1014,0.011602361664149389
reservation_status_date,2016-02-14,211,0.002414298137214518
reservation_status_date,2017-05-25,205,0.0023456451096160007
reservation_status_date,2015-10-21,199,0.0022769920820174838
reservation_status_date,2016-03-28,196,0.002242665568218225
reservation_status_date,2016-10-06,196,0.002242665568218225
reservation_status_date,2016-11-21,185,0.0021168016842876103
reservation_status_date,2017-05-05,185,0.0021168016842876103
reservation_status_date,2017-02-15,184,0.002105359513021191
reservation_status_date,2017-03-06,182,0.002082475170488352
reservation_status_date,2016-10-10,175,0.0020023799716234153
